pov,EMPSTAT,EDUC,BLACK,SEX,HCOVANY,VETSTAT,FTOTINC,AGE
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,97500,81
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,18000,66
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,138000,66
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,50030,83
0,Not in labor force,High school,0,Male,With health insurance coverage,Veteran,127700,64
0,Employed,Some college,1,Female,With health insurance coverage,Not a veteran,32000,63
0,Employed,High school,0,Female,With health insurance coverage,Veteran,37000,61
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,38000,37
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,22900,54
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,34800,64
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,420000,66
0,Employed,4+ years of college,0,Female,With health insurance coverage,Veteran,105000,52
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,122800,27
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,206200,48
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,27200,66
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,34600,29
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,49500,63
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,24230,48
0,Employed,4+ years of college,0,Male,With health insurance coverage,Veteran,81400,52
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,90000,84
0,Not in labor force,Some college,0,Female,With health insurance coverage,Veteran,41800,55
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,18000,72
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,82000,85
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,152400,31
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,62850,64
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,89600,61
0,Employed,Some college,0,Male,With health insurance coverage,Veteran,27700,59
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,39600,57
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,28000,40
0,Not in labor force,Some college,0,Male,With health insurance coverage,Veteran,62000,68
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,64400,57
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,85000,68
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,38600,65
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,240000,45
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,80000,54
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,80500,43
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,228000,30
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,80100,33
0,Employed,4+ years of college,0,Female,With health insurance coverage,Veteran,90000,31
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,145400,39
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,48500,44
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,177750,52
0,Not in labor force,4+ years of college,1,Female,With health insurance coverage,Not a veteran,83600,47
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,163000,74
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,42400,68
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,72000,65
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,229100,54
0,Not in labor force,Some high school,0,Male,With health insurance coverage,Not a veteran,96000,82
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,124400,47
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,45030,40
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,109200,52
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,53000,54
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,65000,63
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,140900,29
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,203000,56
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,84000,50
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,104500,95
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,27900,52
0,Employed,Some high school,0,Female,With health insurance coverage,Not a veteran,152800,56
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,58000,68
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,94100,27
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,86000,57
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,32600,34
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,142200,58
0,Not in labor force,4+ years of college,0,Male,No health insurance coverage,Not a veteran,612300,75
0,Employed,High school,0,Female,With health insurance coverage,Veteran,28800,37
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,30000,61
0,Employed,High school,1,Female,With health insurance coverage,Not a veteran,99800,35
0,Employed,Some high school,0,Male,With health insurance coverage,Veteran,104000,74
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,20200,50
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,18000,69
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,194500,73
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,26100,31
0,Employed,Some college,1,Male,With health insurance coverage,Not a veteran,104300,82
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,115000,79
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,149400,33
0,Employed,High school,0,Male,No health insurance coverage,Not a veteran,89100,69
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,250000,76
0,Employed,High school,0,Female,With health insurance coverage,Veteran,30000,76
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,120800,45
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,173800,57
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,51500,81
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,70000,57
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,237000,27
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,43000,46
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,94000,54
0,Employed,Some high school,0,Male,With health insurance coverage,Not a veteran,112000,81
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,40000,68
0,Not in labor force,High school,1,Female,With health insurance coverage,Not a veteran,37400,62
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,53900,52
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,26610,91
0,Employed,High school,0,Female,With health insurance coverage,Veteran,26800,79
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,60000,42
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,61000,76
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,68190,66
0,Employed,Some college,0,Female,With health insurance coverage,Veteran,84500,36
0,Employed,High school,0,Female,With health insurance coverage,Veteran,90000,48
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,29500,80
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,136700,51
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,117000,66
0,Not in labor force,High school,0,Female,With health insurance coverage,Veteran,120000,63
0,Not in labor force,High school,1,Female,With health insurance coverage,Not a veteran,67520,68
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,200000,39
0,Not in labor force,High school,0,Male,With health insurance coverage,Veteran,92100,50
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,117600,32
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,50500,51
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,52600,69
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,58200,59
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,23000,78
0,Not in labor force,High school,0,Male,With health insurance coverage,Veteran,20000,43
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,70000,57
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,180000,44
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,30000,59
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,227300,74
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,103500,50
0,Not in labor force,Some high school,0,Female,With health insurance coverage,Not a veteran,119000,86
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,67600,41
0,Employed,Some college,1,Female,With health insurance coverage,Not a veteran,111200,32
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Veteran,64000,87
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,71200,71
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,130000,39
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,22000,73
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,128000,54
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,119800,49
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,29500,58
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,150000,45
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,110400,45
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,177420,72
0,Employed,High school,0,Female,No health insurance coverage,Not a veteran,20000,53
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,112000,58
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,96000,65
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,118000,31
0,Not in labor force,High school,1,Male,With health insurance coverage,Not a veteran,79730,48
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,58000,83
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,44500,65
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,40000,86
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,140270,34
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,203000,61
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,270000,72
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,60000,49
0,Employed,Less than high school,0,Male,With health insurance coverage,Not a veteran,34700,64
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,135000,52
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,51600,35
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,454000,56
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,177600,53
0,Employed,4+ years of college,1,Female,With health insurance coverage,Not a veteran,64000,69
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,71100,55
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,23000,38
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,107200,56
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,489000,48
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,56000,55
0,Employed,Some high school,0,Female,With health insurance coverage,Not a veteran,73000,38
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,40300,71
0,Not in labor force,High school,0,Male,No health insurance coverage,Not a veteran,258000,40
0,Not in labor force,4+ years of college,1,Female,With health insurance coverage,Not a veteran,133600,24
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,40250,75
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,90000,31
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,107900,74
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,57500,26
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,98500,70
0,Employed,4+ years of college,0,Male,With health insurance coverage,Veteran,57750,59
