pov,EMPSTAT,EDUC,BLACK,SEX,HCOVANY,VETSTAT,FTOTINC,AGE
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,120000,66
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,54000,67
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,134000,32
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,57000,72
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,99700,59
0,Not in labor force,4+ years of college,0,Female,No health insurance coverage,Not a veteran,50960,37
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Veteran,103960,90
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,80000,58
1,Not in labor force,High school,0,Female,With health insurance coverage,Veteran,141000,88
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,90000,55
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,50000,48
0,Employed,4+ years of college,0,Female,No health insurance coverage,Not a veteran,86000,60
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,68700,62
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,70000,39
0,Employed,4+ years of college,0,Female,No health insurance coverage,Veteran,45000,67
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,60640,58
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,81000,55
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,99600,68
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,37700,73
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,148700,40
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,256510,38
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,131000,33
1,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,40000,24
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,40000,74
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,110000,63
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,105100,69
1,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,110000,65
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,71100,55
0,Employed,4+ years of college,1,Female,With health insurance coverage,Veteran,60000,52
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,87000,64
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,69000,34
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,240000,49
0,Employed,4+ years of college,1,Male,With health insurance coverage,Not a veteran,41000,49
0,Employed,Some college,0,Female,With health insurance coverage,Veteran,135200,43
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,139900,41
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,107000,67
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,48900,21
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,127800,74
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,170290,51
1,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,52000,35
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,60000,57
0,Employed,4+ years of college,0,Male,With health insurance coverage,Veteran,283000,95
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,87300,43
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,32900,72
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,103600,40
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,48200,65
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,79000,63
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,83400,51
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,97000,64
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,64000,37
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,71800,51
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,150600,44
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,26000,54
0,Employed,High school,0,Male,With health insurance coverage,Veteran,119600,60
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,119000,36
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,101000,34
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,108000,55
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,73900,80
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,389700,39
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,153000,75
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,21900,62
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,170000,44
1,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,49200,70
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,143000,65
