SEX,AGE,HCOVANY,EDUC,EMPSTAT,FTOTINC,VETSTAT,pov,BLACK
Female,74,With health insurance coverage,High school,Not in labor force,0,Not a veteran,1,0
Female,42,With health insurance coverage,High school,Employed,21200,Not a veteran,0,0
Female,53,With health insurance coverage,High school,Employed,83000,Not a veteran,0,0
Female,59,With health insurance coverage,High school,Employed,57990,Not a veteran,0,0
Female,47,With health insurance coverage,Some college,Employed,123500,Not a veteran,0,0
Male,36,With health insurance coverage,4+ years of college,Employed,182000,Not a veteran,0,0
Female,73,With health insurance coverage,High school,Not in labor force,28700,Not a veteran,0,0
Female,65,With health insurance coverage,Some college,Employed,28000,Not a veteran,0,0
Female,31,With health insurance coverage,Some college,Employed,63000,Not a veteran,0,0
Female,39,With health insurance coverage,4+ years of college,Employed,112000,Not a veteran,0,0
Male,68,With health insurance coverage,High school,Not in labor force,67800,Not a veteran,0,0
Female,53,With health insurance coverage,4+ years of college,Employed,60000,Not a veteran,0,0
Female,44,With health insurance coverage,Some college,Not in labor force,45000,Not a veteran,0,0
Male,55,With health insurance coverage,4+ years of college,Employed,262800,Not a veteran,0,0
Male,53,With health insurance coverage,4+ years of college,Employed,42000,Not a veteran,0,1
Female,66,With health insurance coverage,High school,Employed,91400,Not a veteran,0,0
Male,70,With health insurance coverage,High school,Not in labor force,57600,Not a veteran,0,0
Male,57,With health insurance coverage,Some college,Unemployed,9200,Not a veteran,1,0
Female,51,With health insurance coverage,Some college,Employed,141400,Not a veteran,0,0
Male,28,With health insurance coverage,4+ years of college,Employed,136000,Not a veteran,0,0
Male,75,With health insurance coverage,High school,Not in labor force,90400,Veteran,0,0
Female,38,With health insurance coverage,4+ years of college,Employed,48500,Not a veteran,0,0
Male,56,With health insurance coverage,Some high school,Employed,20000,Not a veteran,0,0
Male,56,With health insurance coverage,4+ years of college,Employed,228400,Not a veteran,0,0
Female,81,With health insurance coverage,Some high school,Not in labor force,28300,Not a veteran,0,0
Male,61,With health insurance coverage,High school,Employed,204100,Not a veteran,0,0
Female,71,With health insurance coverage,Some high school,Not in labor force,4300,Not a veteran,1,0
Female,66,With health insurance coverage,4+ years of college,Not in labor force,84200,Not a veteran,0,0
Male,77,With health insurance coverage,4+ years of college,Not in labor force,39700,Veteran,0,1
Female,95,With health insurance coverage,High school,Not in labor force,15700,Not a veteran,0,0
Female,69,With health insurance coverage,High school,Not in labor force,17500,Not a veteran,0,0
Male,63,With health insurance coverage,Some college,Not in labor force,65800,Not a veteran,0,0
Male,26,With health insurance coverage,High school,Employed,60000,Not a veteran,0,0
Female,67,With health insurance coverage,4+ years of college,Employed,27200,Not a veteran,0,0
Female,50,With health insurance coverage,High school,Not in labor force,10000,Not a veteran,1,0
Female,90,With health insurance coverage,High school,Not in labor force,4500,Not a veteran,1,0
Female,63,No health insurance coverage,High school,Employed,3400,Not a veteran,1,0
Male,49,With health insurance coverage,High school,Employed,126600,Not a veteran,0,0
Male,71,With health insurance coverage,Some high school,Not in labor force,15000,Not a veteran,0,0
Male,29,With health insurance coverage,Some college,Employed,110000,Not a veteran,0,0
Male,34,With health insurance coverage,High school,Employed,64200,Not a veteran,0,0
Female,43,With health insurance coverage,High school,Employed,96000,Not a veteran,0,0
Male,62,With health insurance coverage,High school,Employed,60000,Veteran,0,0
Male,69,With health insurance coverage,Some high school,Not in labor force,106600,Not a veteran,0,0
Female,55,With health insurance coverage,Some college,Employed,151000,Not a veteran,0,0
Male,49,With health insurance coverage,High school,Employed,75000,Veteran,0,0
Female,46,With health insurance coverage,High school,Employed,1318000,Not a veteran,0,0
Male,62,With health insurance coverage,High school,Not in labor force,70400,Not a veteran,0,0
Male,76,With health insurance coverage,Some college,Not in labor force,0,Veteran,1,0
Male,69,With health insurance coverage,Some college,Not in labor force,113340,Not a veteran,0,0
Male,63,With health insurance coverage,High school,Employed,70000,Not a veteran,0,0
Female,64,With health insurance coverage,Some college,Employed,29000,Not a veteran,0,0
Female,50,With health insurance coverage,4+ years of college,Not in labor force,75300,Not a veteran,0,0
Female,56,With health insurance coverage,4+ years of college,Employed,76300,Not a veteran,0,0
Male,86,With health insurance coverage,High school,Not in labor force,62850,Veteran,0,0
Female,55,With health insurance coverage,Some college,Not in labor force,15300,Not a veteran,0,1
Male,60,With health insurance coverage,4+ years of college,Not in labor force,16300,Not a veteran,0,0
Female,77,With health insurance coverage,4+ years of college,Not in labor force,105800,Not a veteran,0,0
Female,51,With health insurance coverage,Some college,Employed,196000,Not a veteran,0,0
Female,58,With health insurance coverage,4+ years of college,Employed,25000,Not a veteran,0,0
Female,55,With health insurance coverage,High school,Employed,159000,Not a veteran,0,0
Female,60,With health insurance coverage,4+ years of college,Employed,27000,Not a veteran,0,0
Male,54,With health insurance coverage,Some college,Employed,113000,Not a veteran,0,0
Female,73,With health insurance coverage,4+ years of college,Employed,101700,Not a veteran,0,0
Female,62,With health insurance coverage,High school,Not in labor force,24230,Not a veteran,0,0
Male,87,With health insurance coverage,4+ years of college,Not in labor force,74690,Veteran,0,0
Female,78,With health insurance coverage,High school,Not in labor force,24000,Not a veteran,0,0
Male,73,With health insurance coverage,4+ years of college,Not in labor force,33100,Not a veteran,0,0
Female,66,With health insurance coverage,High school,Employed,92200,Not a veteran,0,1
Male,26,No health insurance coverage,Some college,Not in labor force,3000,Not a veteran,1,0
Female,61,With health insurance coverage,Some high school,Employed,91700,Not a veteran,0,0
Male,30,With health insurance coverage,High school,Employed,45000,Veteran,0,0
Male,69,With health insurance coverage,4+ years of college,Not in labor force,91400,Not a veteran,0,0
Male,74,With health insurance coverage,4+ years of college,Not in labor force,47870,Not a veteran,0,0
Male,65,With health insurance coverage,Some college,Employed,101800,Veteran,0,0
Male,65,With health insurance coverage,Some college,Employed,99000,Not a veteran,0,0
Male,59,With health insurance coverage,High school,Not in labor force,5800,Not a veteran,1,0
Male,48,With health insurance coverage,Some college,Employed,227900,Not a veteran,0,0
Female,31,With health insurance coverage,High school,Employed,29000,Not a veteran,0,0
Male,39,No health insurance coverage,Some high school,Employed,31000,Not a veteran,0,0
Male,60,With health insurance coverage,4+ years of college,Employed,257000,Not a veteran,0,0
Male,35,With health insurance coverage,Some college,Employed,158000,Not a veteran,0,0
Female,61,With health insurance coverage,High school,Employed,44900,Not a veteran,0,0
Male,58,With health insurance coverage,Some college,Employed,102500,Not a veteran,0,0
Female,40,With health insurance coverage,4+ years of college,Employed,60000,Not a veteran,0,1
Female,69,With health insurance coverage,High school,Not in labor force,6200,Not a veteran,1,0
Male,87,With health insurance coverage,Some college,Not in labor force,63000,Not a veteran,0,0
Male,74,With health insurance coverage,High school,Not in labor force,399800,Not a veteran,0,0
Female,47,With health insurance coverage,4+ years of college,Employed,8500,Not a veteran,1,0
Female,68,With health insurance coverage,High school,Employed,114400,Not a veteran,0,0
Female,42,With health insurance coverage,4+ years of college,Employed,50000,Not a veteran,0,0
Female,20,With health insurance coverage,High school,Employed,25000,Not a veteran,0,0
Male,79,With health insurance coverage,High school,Not in labor force,58700,Veteran,0,0
Male,66,With health insurance coverage,Some college,Not in labor force,12700,Not a veteran,1,0
Male,54,With health insurance coverage,High school,Employed,113000,Not a veteran,0,0
Male,53,With health insurance coverage,4+ years of college,Employed,208700,Not a veteran,0,0
Female,63,With health insurance coverage,High school,Not in labor force,27700,Not a veteran,0,0
Male,74,With health insurance coverage,4+ years of college,Not in labor force,109600,Not a veteran,0,0
Female,86,With health insurance coverage,High school,Not in labor force,36000,Not a veteran,0,0
Female,78,With health insurance coverage,High school,Not in labor force,13100,Not a veteran,1,0
Male,31,With health insurance coverage,High school,Employed,70000,Not a veteran,0,0
Female,80,With health insurance coverage,High school,Not in labor force,45450,Not a veteran,0,0
Female,55,With health insurance coverage,High school,Employed,73000,Not a veteran,0,0
Female,70,With health insurance coverage,High school,Not in labor force,10700,Not a veteran,1,0
Male,76,With health insurance coverage,4+ years of college,Not in labor force,76150,Not a veteran,0,0
Female,39,With health insurance coverage,4+ years of college,Employed,76400,Not a veteran,0,0
Female,80,With health insurance coverage,High school,Not in labor force,20200,Not a veteran,0,0
Female,37,With health insurance coverage,High school,Employed,118000,Not a veteran,0,0
Female,91,With health insurance coverage,Some high school,Not in labor force,0,Not a veteran,1,0
Female,74,With health insurance coverage,High school,Employed,60360,Not a veteran,0,1
Female,84,With health insurance coverage,High school,Not in labor force,51800,Not a veteran,0,0
Female,65,With health insurance coverage,Some college,Not in labor force,42100,Not a veteran,0,0
Male,50,With health insurance coverage,4+ years of college,Employed,98200,Not a veteran,0,0
Female,84,With health insurance coverage,High school,Not in labor force,21900,Not a veteran,0,0
Female,53,With health insurance coverage,4+ years of college,Not in labor force,176800,Not a veteran,0,0
Male,29,With health insurance coverage,High school,Not in labor force,56600,Not a veteran,0,0
Female,75,With health insurance coverage,Some college,Not in labor force,36900,Not a veteran,0,0
Female,52,With health insurance coverage,4+ years of college,Employed,301400,Not a veteran,0,0
Male,82,With health insurance coverage,4+ years of college,Not in labor force,51300,Not a veteran,0,0
Female,74,With health insurance coverage,4+ years of college,Not in labor force,36000,Not a veteran,0,0
Female,45,With health insurance coverage,High school,Employed,20000,Not a veteran,0,0
Female,47,With health insurance coverage,Some college,Employed,45000,Not a veteran,0,0
Female,60,No health insurance coverage,High school,Not in labor force,101000,Not a veteran,0,0
Female,52,With health insurance coverage,High school,Not in labor force,14300,Not a veteran,1,0
Male,67,With health insurance coverage,Some college,Not in labor force,10560,Not a veteran,1,1
Female,34,With health insurance coverage,High school,Not in labor force,0,Not a veteran,1,0
Female,30,With health insurance coverage,Some college,Employed,69000,Not a veteran,0,0
Female,57,With health insurance coverage,Some college,Employed,32000,Not a veteran,0,0
Male,63,With health insurance coverage,4+ years of college,Not in labor force,110000,Not a veteran,0,0
Female,71,With health insurance coverage,High school,Not in labor force,37000,Not a veteran,0,0
Male,74,With health insurance coverage,4+ years of college,Not in labor force,33000,Not a veteran,0,0
Female,57,With health insurance coverage,4+ years of college,Employed,55000,Not a veteran,0,0
Female,64,With health insurance coverage,4+ years of college,Employed,91000,Veteran,0,1
Female,63,With health insurance coverage,4+ years of college,Employed,121960,Not a veteran,0,0
Male,58,With health insurance coverage,Some college,Employed,63000,Not a veteran,0,0
Male,82,With health insurance coverage,4+ years of college,Not in labor force,32600,Not a veteran,0,0
Male,44,With health insurance coverage,Some college,Employed,85800,Not a veteran,0,0
Male,21,With health insurance coverage,Some college,Employed,20000,Not a veteran,0,0
Male,36,With health insurance coverage,High school,Employed,92000,Not a veteran,0,0
Female,61,With health insurance coverage,Some college,Not in labor force,80800,Not a veteran,0,0
Male,26,With health insurance coverage,Some college,Employed,45000,Not a veteran,0,0
Male,64,With health insurance coverage,High school,Employed,61000,Veteran,0,0
Female,25,With health insurance coverage,4+ years of college,Employed,45000,Not a veteran,0,0
Female,41,With health insurance coverage,Some college,Employed,67990,Not a veteran,0,0
Female,74,With health insurance coverage,High school,Not in labor force,50900,Not a veteran,0,0
Female,55,With health insurance coverage,High school,Not in labor force,28000,Not a veteran,0,0
Male,68,With health insurance coverage,4+ years of college,Not in labor force,61800,Not a veteran,0,0
Male,65,With health insurance coverage,High school,Not in labor force,14000,Not a veteran,0,0
Female,44,With health insurance coverage,High school,Not in labor force,103200,Not a veteran,0,0
Female,70,With health insurance coverage,Some college,Not in labor force,9800,Not a veteran,1,0
Male,77,With health insurance coverage,4+ years of college,Employed,102080,Not a veteran,0,0
Male,75,With health insurance coverage,High school,Not in labor force,68100,Veteran,0,0
Male,78,With health insurance coverage,4+ years of college,Not in labor force,116900,Not a veteran,0,0
Female,73,With health insurance coverage,High school,Not in labor force,9600,Not a veteran,1,1
Female,66,With health insurance coverage,Some college,Employed,60000,Not a veteran,0,0
Male,67,With health insurance coverage,4+ years of college,Employed,197800,Not a veteran,0,0
Male,43,With health insurance coverage,4+ years of college,Employed,103200,Not a veteran,0,0
Male,23,With health insurance coverage,Some college,Employed,32000,Not a veteran,0,0
Female,69,With health insurance coverage,4+ years of college,Not in labor force,51700,Not a veteran,0,0
Male,36,No health insurance coverage,Less than high school,Not in labor force,10500,Not a veteran,1,0
Male,76,With health insurance coverage,Some college,Not in labor force,43600,Veteran,0,1
Female,47,With health insurance coverage,4+ years of college,Not in labor force,100000,Not a veteran,0,0
Female,65,With health insurance coverage,High school,Not in labor force,1200,Not a veteran,1,0
Male,68,With health insurance coverage,4+ years of college,Employed,120000,Not a veteran,0,0
Male,68,With health insurance coverage,High school,Employed,32500,Not a veteran,0,0
Female,34,With health insurance coverage,4+ years of college,Employed,80000,Not a veteran,0,0
Female,73,With health insurance coverage,High school,Not in labor force,38900,Not a veteran,0,0
Female,55,With health insurance coverage,High school,Employed,10440,Not a veteran,1,1
Female,71,With health insurance coverage,High school,Not in labor force,62440,Not a veteran,0,0
Female,72,With health insurance coverage,High school,Not in labor force,181100,Veteran,0,0
Female,37,With health insurance coverage,Some college,Not in labor force,8000,Not a veteran,1,1
Male,39,With health insurance coverage,High school,Employed,88000,Not a veteran,0,0
Male,77,With health insurance coverage,Some college,Not in labor force,44300,Not a veteran,0,0
Female,35,With health insurance coverage,Some college,Employed,75000,Not a veteran,0,0
Female,77,With health insurance coverage,Some college,Not in labor force,20800,Not a veteran,0,0
Female,75,With health insurance coverage,High school,Not in labor force,21800,Not a veteran,0,0
Male,58,With health insurance coverage,Some college,Employed,44200,Not a veteran,0,1
Female,65,With health insurance coverage,High school,Employed,38400,Not a veteran,0,0
Female,43,With health insurance coverage,4+ years of college,Employed,70000,Not a veteran,0,1
Female,63,With health insurance coverage,High school,Employed,84300,Not a veteran,0,0
Male,68,With health insurance coverage,High school,Not in labor force,75600,Not a veteran,0,0
Male,36,With health insurance coverage,Some college,Employed,48400,Not a veteran,0,0
Male,79,With health insurance coverage,Less than high school,Not in labor force,0,Not a veteran,1,0
Male,64,With health insurance coverage,High school,Employed,57800,Not a veteran,0,0
Female,58,With health insurance coverage,4+ years of college,Employed,228000,Not a veteran,0,0
Female,53,With health insurance coverage,High school,Employed,18300,Not a veteran,0,0
Female,60,With health insurance coverage,4+ years of college,Not in labor force,23300,Not a veteran,0,0
Female,47,With health insurance coverage,Some college,Not in labor force,20500,Not a veteran,1,0
Male,72,With health insurance coverage,High school,Not in labor force,53000,Not a veteran,0,0
Male,70,With health insurance coverage,High school,Not in labor force,51800,Veteran,0,0
Male,62,With health insurance coverage,4+ years of college,Employed,2007000,Not a veteran,0,0
Female,57,No health insurance coverage,High school,Not in labor force,40040,Not a veteran,0,0
Female,67,With health insurance coverage,High school,Not in labor force,51100,Not a veteran,0,0
Male,52,With health insurance coverage,Some college,Employed,103500,Veteran,0,0
Male,32,With health insurance coverage,Some college,Employed,50000,Not a veteran,0,1
Female,26,With health insurance coverage,High school,Employed,38000,Not a veteran,0,0
Male,27,With health insurance coverage,4+ years of college,Employed,48540,Not a veteran,0,0
Female,69,With health insurance coverage,4+ years of college,Not in labor force,60900,Not a veteran,0,0
Male,40,With health insurance coverage,High school,Employed,102000,Veteran,0,0
Female,71,With health insurance coverage,Some college,Not in labor force,29000,Not a veteran,0,0
Male,58,With health insurance coverage,High school,Employed,30000,Not a veteran,0,0
Female,63,With health insurance coverage,Some college,Not in labor force,200000,Not a veteran,0,0
Female,56,With health insurance coverage,4+ years of college,Employed,82000,Not a veteran,0,0
Male,48,With health insurance coverage,4+ years of college,Employed,118000,Not a veteran,0,1
Female,80,With health insurance coverage,High school,Not in labor force,70200,Not a veteran,0,0
Female,67,With health insurance coverage,4+ years of college,Not in labor force,125200,Not a veteran,0,0
Male,65,With health insurance coverage,4+ years of college,Not in labor force,65880,Not a veteran,0,0
Male,63,With health insurance coverage,Some college,Not in labor force,69600,Not a veteran,0,0
Male,47,With health insurance coverage,High school,Unemployed,0,Not a veteran,1,0
Male,81,With health insurance coverage,Some college,Not in labor force,25000,Not a veteran,0,0
Female,74,With health insurance coverage,4+ years of college,Employed,83000,Not a veteran,0,0
Male,49,With health insurance coverage,4+ years of college,Not in labor force,156000,Not a veteran,0,0
Female,73,With health insurance coverage,Some college,Not in labor force,144000,Not a veteran,0,0
Male,65,With health insurance coverage,High school,Employed,39000,Veteran,0,0
Male,27,With health insurance coverage,4+ years of college,Employed,80000,Not a veteran,0,0
Male,64,With health insurance coverage,Some college,Employed,89400,Not a veteran,0,0
Female,60,With health insurance coverage,High school,Employed,168000,Not a veteran,0,0
Male,35,With health insurance coverage,Some college,Employed,70000,Not a veteran,0,0
Female,50,With health insurance coverage,Less than high school,Not in labor force,36000,Not a veteran,0,0
Female,23,With health insurance coverage,4+ years of college,Employed,30000,Not a veteran,0,0
Male,40,With health insurance coverage,Less than high school,Not in labor force,50,Not a veteran,1,0
Male,75,With health insurance coverage,Some college,Not in labor force,163450,Not a veteran,0,0
Male,62,With health insurance coverage,High school,Not in labor force,38600,Veteran,0,0
Male,55,With health insurance coverage,High school,Not in labor force,4800,Not a veteran,1,0
Female,50,With health insurance coverage,4+ years of college,Employed,110000,Not a veteran,0,1
Male,64,With health insurance coverage,Some college,Not in labor force,85000,Not a veteran,0,0
Male,56,With health insurance coverage,High school,Employed,88500,Veteran,0,0
Male,31,With health insurance coverage,High school,Unemployed,800,Not a veteran,1,0
Female,43,With health insurance coverage,Some college,Employed,83500,Not a veteran,0,0
Male,30,With health insurance coverage,High school,Employed,43100,Not a veteran,0,0
Male,68,With health insurance coverage,4+ years of college,Not in labor force,68070,Veteran,0,0
Female,81,With health insurance coverage,High school,Not in labor force,41200,Not a veteran,0,0
Male,65,With health insurance coverage,4+ years of college,Employed,103150,Not a veteran,0,0
Female,68,With health insurance coverage,High school,Employed,58120,Not a veteran,0,0
Male,53,With health insurance coverage,4+ years of college,Employed,62000,Veteran,0,0
Female,59,With health insurance coverage,4+ years of college,Employed,67000,Not a veteran,0,0
Female,82,With health insurance coverage,High school,Not in labor force,36100,Not a veteran,0,0
Female,27,With health insurance coverage,Some college,Not in labor force,71000,Not a veteran,0,0
Male,36,With health insurance coverage,4+ years of college,Employed,489000,Not a veteran,0,0
Female,61,With health insurance coverage,Some college,Employed,58000,Not a veteran,0,0
