BLACK,pov,SEX,EMPSTAT,EDUC,HCOVANY,VETSTAT,FTOTINC,AGE
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,115000,33
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,53900,70
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,112000,61
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,17400,91
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,220000,38
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,489000,84
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,49900,47
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,51000,54
0,1,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,12500,77
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,105000,52
0,1,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,7000,80
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,109600,39
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,30000,73
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,34000,28
1,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,155000,53
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,165000,39
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,162000,33
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,90000,37
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,46500,40
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,34000,57
0,0,Female,Employed,High school,With health insurance coverage,Veteran,22000,58
0,1,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,4500,71
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,85200,68
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,131000,61
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,49800,63
0,0,Male,Employed,4+ years of college,No health insurance coverage,Not a veteran,32000,43
0,1,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,0,59
