BLACK,pov,SEX,EMPSTAT,EDUC,HCOVANY,VETSTAT,FTOTINC,AGE
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,68000,60
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,120450,57
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,125500,53
0,1,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,3400,49
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,69700,61
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,31280,26
0,1,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,6800,26
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,83900,46
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,92120,42
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,200000,56
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,56100,64
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,15800,75
0,1,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,0,75
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,67900,40
1,1,Male,Unemployed,4+ years of college,With health insurance coverage,Not a veteran,13000,71
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,37800,85
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,67000,59
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,40800,82
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,299100,41
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,208000,53
0,1,Female,Employed,High school,With health insurance coverage,Not a veteran,10400,25
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,89000,81
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,87400,68
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,90000,33
0,0,Male,Employed,Less than high school,With health insurance coverage,Not a veteran,180000,58
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,36800,39
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,141000,80
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,219100,60
1,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,80000,65
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,250000,70
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,91100,70
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,68000,44
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,110000,73
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,589000,51
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,135200,40
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,85000,45
0,0,Male,Employed,4+ years of college,With health insurance coverage,Veteran,80000,60
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,65000,60
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,60530,60
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,17100,67
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,79000,70
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,30500,33
0,0,Female,Not in labor force,Some high school,With health insurance coverage,Not a veteran,14400,65
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,40720,34
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Veteran,50400,90
0,1,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,10270,54
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,86600,68
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,92000,50
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,292900,44
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,29200,68
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,40000,27
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,190000,41
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,63000,27
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,93500,40
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,182000,40
1,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,92300,78
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,111140,67
0,1,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,10500,68
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,41900,70
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,149000,53
0,1,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,11900,63
0,1,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,7200,53
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,48200,70
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,15200,67
0,1,Female,Employed,Some high school,No health insurance coverage,Veteran,10000,61
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,27000,88
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,70300,74
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,117200,46
1,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,90400,51
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,67700,71
0,0,Female,Employed,4+ years of college,With health insurance coverage,Veteran,28600,55
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,51300,95
0,1,Male,Employed,High school,With health insurance coverage,Not a veteran,0,85
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,58000,69
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,92800,72
0,0,Male,Unemployed,High school,With health insurance coverage,Not a veteran,61300,82
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,52700,66
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,65000,28
0,1,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,12600,79
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,82300,44
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,140000,63
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,54000,43
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,65000,45
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,37500,95
1,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,25900,95
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,114600,40
0,1,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,13500,76
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,100000,68
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,62000,31
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,110300,30
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,106000,41
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,48000,78
0,1,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,3000,55
0,0,Male,Unemployed,4+ years of college,With health insurance coverage,Not a veteran,36500,60
0,0,Female,Employed,Some high school,With health insurance coverage,Not a veteran,73000,63
0,0,Male,Employed,Less than high school,No health insurance coverage,Not a veteran,91000,45
0,1,Male,Not in labor force,Some high school,With health insurance coverage,Not a veteran,6600,46
0,1,Male,Not in labor force,Some high school,With health insurance coverage,Not a veteran,10400,71
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,190600,62
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,45000,62
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,281800,85
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,53000,59
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,18060,27
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,177200,73
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Veteran,62000,41
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,115000,45
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,61900,73
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,87820,53
0,1,Female,Unemployed,4+ years of college,With health insurance coverage,Not a veteran,1100,61
1,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,44300,74
0,0,Female,Employed,High school,No health insurance coverage,Not a veteran,30000,33
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,92000,53
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,138000,47
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,117000,29
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,108690,84
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,34000,25
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,73000,68
0,1,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,6800,82
0,0,Male,Not in labor force,High school,With health insurance coverage,Veteran,157000,79
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,158000,28
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,80000,51
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,15500,61
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,54000,52
0,1,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,6000,65
1,1,Female,Employed,Some college,No health insurance coverage,Not a veteran,28700,45
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,29000,78
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,89000,64
0,1,Female,Employed,High school,With health insurance coverage,Not a veteran,0,42
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,76000,62
0,0,Female,Employed,4+ years of college,With health insurance coverage,Veteran,180010,58
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,24000,75
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,50600,52
1,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,72700,31
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,60000,57
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,122300,52
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,89700,53
0,0,Male,Employed,4+ years of college,No health insurance coverage,Not a veteran,58740,58
0,1,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,9900,78
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,79500,61
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,179000,88
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,132000,44
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,106000,78
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,60260,53
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,52800,95
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,118000,28
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,50000,30
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,75000,29
0,0,Female,Not in labor force,High school,With health insurance coverage,Veteran,86600,73
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,36000,64
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,44330,72
0,0,Female,Employed,4+ years of college,With health insurance coverage,Veteran,216700,55
