pov,EMPSTAT,EDUC,BLACK,SEX,HCOVANY,VETSTAT,FTOTINC,AGE
1,Employed,High school,0,Female,With health insurance coverage,Not a veteran,0,28
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,50000,45
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,64900,63
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,224150,77
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,87500,62
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,34600,87
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,235000,65
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,45000,54
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,646000,63
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,171000,32
0,Not in labor force,Some high school,1,Male,With health insurance coverage,Not a veteran,47700,72
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,67000,69
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,28500,21
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,98000,71
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,24000,64
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,40000,37
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,25000,21
1,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,12000,79
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,89000,51
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,87000,45
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,15000,80
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,39200,83
0,Employed,High school,0,Female,With health insurance coverage,Veteran,124000,31
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,77600,32
0,Unemployed,4+ years of college,0,Male,With health insurance coverage,Veteran,59400,78
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,153600,66
1,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,13400,55
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,50300,57
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,36000,72
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,128900,37
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,75000,33
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,52100,66
0,Employed,High school,1,Female,With health insurance coverage,Not a veteran,45000,58
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,77700,52
1,Unemployed,High school,0,Female,With health insurance coverage,Not a veteran,1100,31
1,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,13400,37
1,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,11800,53
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Veteran,48300,81
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,43870,30
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,285200,37
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,80900,74
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,111000,37
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,20100,95
0,Employed,High school,0,Male,With health insurance coverage,Veteran,44000,64
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,113000,56
0,Employed,Some college,0,Female,With health insurance coverage,Veteran,50000,40
0,Not in labor force,Some high school,0,Female,With health insurance coverage,Not a veteran,42400,77
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,20000,26
1,Not in labor force,High school,1,Female,With health insurance coverage,Not a veteran,0,50
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,95000,53
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,102000,64
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,35000,52
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,92200,50
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,47800,32
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,70800,65
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,65000,52
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,52600,73
0,Unemployed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,94330,61
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,37500,71
0,Employed,Some college,0,Male,With health insurance coverage,Veteran,42000,65
0,Employed,High school,0,Male,With health insurance coverage,Veteran,40000,55
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,48700,44
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,68500,55
0,Employed,High school,0,Male,With health insurance coverage,Veteran,45600,35
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,77000,42
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,141000,37
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,186700,54
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,186000,67
0,Employed,High school,1,Female,With health insurance coverage,Not a veteran,36000,53
1,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,18000,70
0,Not in labor force,4+ years of college,1,Female,With health insurance coverage,Not a veteran,110190,65
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,47200,70
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,181500,61
0,Employed,4+ years of college,0,Male,With health insurance coverage,Veteran,126700,53
0,Employed,4+ years of college,1,Female,With health insurance coverage,Not a veteran,60000,38
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,46000,80
1,Employed,High school,0,Male,With health insurance coverage,Veteran,0,57
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,24300,68
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,138000,67
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,68000,74
0,Employed,4+ years of college,0,Female,With health insurance coverage,Veteran,130700,42
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,125500,63
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,81000,28
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,47300,33
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,30000,63
1,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,12300,59
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,56400,43
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,22000,62
1,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,14000,62
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,72000,45
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,23300,90
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,240050,58
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,50000,52
1,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,9000,84
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,119500,52
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,63300,72
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,72000,75
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,80000,59
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,184600,47
1,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,12000,35
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,128400,50
0,Employed,High school,0,Male,With health insurance coverage,Veteran,88000,53
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,112000,64
1,Employed,High school,0,Female,With health insurance coverage,Not a veteran,14600,40
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,35000,55
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,122000,57
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,593900,69
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,31410,75
1,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,0,63
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,17810,19
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,152080,70
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,71000,27
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,90000,37
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,41600,60
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,161000,33
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,115000,44
0,Not in labor force,4+ years of college,1,Female,With health insurance coverage,Not a veteran,105200,67
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,100000,69
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,60730,64
0,Employed,High school,0,Female,With health insurance coverage,Veteran,120000,49
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,180000,46
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,25000,59
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,69060,70
1,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,28600,50
1,Employed,Some high school,0,Male,With health insurance coverage,Not a veteran,12600,38
1,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,12000,52
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,60030,75
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,290000,37
0,Employed,4+ years of college,0,Female,With health insurance coverage,Veteran,68140,41
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,37700,67
0,Not in labor force,Some high school,0,Female,With health insurance coverage,Not a veteran,53700,35
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,32900,25
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,115730,39
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,89040,34
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,95200,65
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,220000,35
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,33600,77
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,52000,95
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,106000,73
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,106300,68
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,88000,29
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,38100,71
0,Not in labor force,Less than high school,0,Male,With health insurance coverage,Not a veteran,21000,84
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,42000,42
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,142300,60
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,95000,49
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,79800,69
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,114500,61
0,Employed,4+ years of college,0,Male,With health insurance coverage,Veteran,236200,26
1,Not in labor force,High school,0,Male,With health insurance coverage,Veteran,240,27
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,157850,54
0,Not in labor force,Some high school,0,Female,With health insurance coverage,Not a veteran,72500,68
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,288800,37
1,Unemployed,Some college,0,Male,With health insurance coverage,Not a veteran,4000,47
0,Not in labor force,High school,1,Male,With health insurance coverage,Veteran,27100,77
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,120000,51
0,Employed,4+ years of college,1,Female,With health insurance coverage,Not a veteran,287300,28
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,81000,52
0,Employed,Some college,1,Male,With health insurance coverage,Not a veteran,47000,24
1,Not in labor force,Some college,0,Male,With health insurance coverage,Veteran,1800,66
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,45300,69
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,125000,63
1,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,0,64
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,28500,67
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,91800,53
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,19000,68
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,64000,29
1,Not in labor force,Less than high school,0,Male,With health insurance coverage,Not a veteran,19200,29
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Veteran,30000,72
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,28000,52
1,Not in labor force,Less than high school,0,Female,With health insurance coverage,Not a veteran,9800,60
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,102654,78
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,17600,68
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,40000,42
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,200000,66
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,18400,69
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,242900,58
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,323000,49
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,96000,26
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,38000,28
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,38300,67
0,Employed,Some college,0,Female,No health insurance coverage,Veteran,105000,32
1,Employed,Some college,0,Female,With health insurance coverage,Veteran,7900,62
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,138400,49
0,Employed,4+ years of college,1,Male,With health insurance coverage,Not a veteran,112800,43
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,32600,72
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,85900,43
1,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,13600,73
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,20100,78
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,46000,38
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,27200,80
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,96700,64
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,282000,59
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,120250,60
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,100000,38
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,31000,43
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,107000,52
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,494000,45
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,75000,37
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,75300,55
0,Not in labor force,4+ years of college,1,Male,With health insurance coverage,Veteran,125600,79
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,21000,82
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,120000,48
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,70000,52
0,Employed,Some college,1,Male,With health insurance coverage,Not a veteran,44200,47
0,Employed,Some college,0,Male,With health insurance coverage,Veteran,40000,58
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,94310,70
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,67400,74
1,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,1100,66
0,Employed,4+ years of college,0,Male,No health insurance coverage,Not a veteran,35350,52
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,30800,60
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,80000,23
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,27000,35
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,16600,86
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,24000,70
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,120000,55
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,107140,62
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,69500,86
0,Employed,4+ years of college,0,Female,No health insurance coverage,Not a veteran,103030,42
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,92000,46
1,Not in labor force,Some college,0,Female,With health insurance coverage,Veteran,11900,73
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,50000,47
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,150000,62
1,Not in labor force,Some high school,0,Female,With health insurance coverage,Not a veteran,1400,82
0,Employed,4+ years of college,0,Male,With health insurance coverage,Veteran,165000,58
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,50000,50
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,137500,63
1,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,6400,62
0,Employed,High school,1,Male,With health insurance coverage,Not a veteran,80000,49
0,Unemployed,4+ years of college,0,Male,No health insurance coverage,Not a veteran,24600,71
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,199800,48
0,Employed,Some college,0,Female,With health insurance coverage,Veteran,94000,43
0,Employed,Less than high school,0,Female,With health insurance coverage,Not a veteran,60000,42
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,103000,58
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,132000,54
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,70000,39
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,37700,66
0,Employed,High school,1,Female,With health insurance coverage,Not a veteran,130800,63
0,Not in labor force,High school,1,Female,With health insurance coverage,Not a veteran,69300,66
0,Not in labor force,High school,1,Male,With health insurance coverage,Not a veteran,22000,56
1,Not in labor force,Some high school,0,Female,With health insurance coverage,Not a veteran,60,20
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,110600,34
0,Not in labor force,Some college,1,Female,With health insurance coverage,Not a veteran,97800,77
1,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,11000,81
0,Employed,High school,1,Male,No health insurance coverage,Veteran,20000,74
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,16400,71
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,59600,85
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,56000,44
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,70000,56
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,127400,64
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,49700,73
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,121600,66
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,53000,87
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,230000,49
0,Not in labor force,High school,0,Male,With health insurance coverage,Veteran,25100,73
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,108880,37
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,13900,67
1,Employed,High school,0,Female,With health insurance coverage,Not a veteran,10800,63
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,100000,67
0,Employed,High school,1,Female,With health insurance coverage,Veteran,80000,43
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,23100,69
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,92600,83
0,Employed,4+ years of college,0,Male,With health insurance coverage,Veteran,95000,58
0,Not in labor force,High school,0,Male,With health insurance coverage,Veteran,18900,73
1,Employed,Some high school,1,Female,With health insurance coverage,Not a veteran,4000,32
1,Not in labor force,Some college,1,Female,With health insurance coverage,Not a veteran,10400,59
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,38000,84
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,37400,75
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,528000,50
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,75000,52
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,76000,57
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,32000,23
0,Employed,4+ years of college,1,Female,With health insurance coverage,Not a veteran,141000,52
