pov,EMPSTAT,EDUC,BLACK,SEX,HCOVANY,VETSTAT,FTOTINC,AGE
1,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,17100,51
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,61800,51
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,60610,73
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,52000,73
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,37800,75
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Veteran,46600,71
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,36000,59
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,55010,63
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,115000,63
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,45000,39
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,168380,64
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,75000,63
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,74500,52
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,43000,66
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,33300,85
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,160000,43
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,97600,67
1,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,12000,42
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,34800,66
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,90000,37
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,210900,70
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,22500,24
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,51500,71
0,Employed,Some college,1,Female,With health insurance coverage,Not a veteran,27600,62
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,36000,77
0,Unemployed,High school,0,Female,With health insurance coverage,Not a veteran,51000,55
1,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,1500,86
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,50400,88
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,200600,36
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,42620,78
0,Unemployed,Some college,0,Male,With health insurance coverage,Not a veteran,54600,64
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,405000,53
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,38000,34
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,121440,57
1,Employed,High school,0,Male,With health insurance coverage,Not a veteran,11800,36
1,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,12000,32
1,Employed,High school,0,Female,With health insurance coverage,Not a veteran,9600,24
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,91300,56
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,172500,63
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,73450,60
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,36400,43
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,60000,24
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,175000,32
0,Employed,4+ years of college,0,Male,With health insurance coverage,Veteran,351000,54
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,120000,36
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,102600,77
0,Employed,4+ years of college,0,Female,With health insurance coverage,Veteran,112100,62
0,Employed,Some college,0,Male,No health insurance coverage,Not a veteran,34000,40
1,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,0,44
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,33900,85
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,343200,35
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,175000,43
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,63500,70
0,Unemployed,Some college,0,Female,No health insurance coverage,Not a veteran,355000,44
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,15100,63
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,89000,43
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,50000,72
0,Employed,4+ years of college,0,Male,With health insurance coverage,Veteran,283000,26
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,64300,81
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,75000,65
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,39600,75
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,90000,23
0,Employed,High school,1,Female,With health insurance coverage,Not a veteran,71100,72
0,Not in labor force,Some college,0,Female,With health insurance coverage,Veteran,38000,68
0,Not in labor force,4+ years of college,1,Female,With health insurance coverage,Not a veteran,124100,95
0,Not in labor force,Some college,0,Male,With health insurance coverage,Veteran,34000,75
0,Not in labor force,High school,0,Male,No health insurance coverage,Not a veteran,56900,63
