BLACK,pov,SEX,EMPSTAT,EDUC,HCOVANY,VETSTAT,FTOTINC,AGE
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,62000,75
0,0,Female,Not in labor force,High school,With health insurance coverage,Veteran,49200,65
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,170300,76
0,1,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,10200,65
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,119000,47
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,164000,54
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,223110,52
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,35600,78
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,174000,34
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,659000,65
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,135000,57
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,100000,33
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,86000,49
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,40700,50
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,230000,57
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,80000,50
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,171370,71
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,66500,72
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,142400,57
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,100000,53
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,170000,51
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,151000,51
0,1,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,0,57
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,74000,54
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,45000,30
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,23120,76
0,1,Male,Employed,Some college,With health insurance coverage,Not a veteran,13200,21
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Veteran,136050,79
0,0,Female,Employed,4+ years of college,With health insurance coverage,Veteran,206450,64
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,38000,30
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,92800,69
0,0,Male,Employed,High school,With health insurance coverage,Veteran,27540,69
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,145000,45
0,0,Male,Employed,4+ years of college,With health insurance coverage,Veteran,79600,40
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,73000,55
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,177400,62
0,0,Male,Not in labor force,High school,With health insurance coverage,Veteran,68900,72
0,0,Male,Employed,4+ years of college,With health insurance coverage,Veteran,140400,46
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,350600,52
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,42300,68
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,35400,24
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,189000,77
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,150000,39
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,98010,85
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,36000,36
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,76800,62
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,80000,32
0,1,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,10900,78
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,116300,37
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,40700,53
0,0,Male,Not in labor force,High school,With health insurance coverage,Veteran,125900,72
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,65200,77
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,71600,71
0,0,Female,Unemployed,High school,With health insurance coverage,Not a veteran,120200,44
0,0,Male,Employed,High school,With health insurance coverage,Veteran,95000,67
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,145200,62
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,45000,52
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,132000,73
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,61900,66
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,35000,63
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,158000,25
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,67000,39
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,158700,43
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,79070,67
0,0,Male,Employed,4+ years of college,No health insurance coverage,Not a veteran,195000,37
0,1,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,11600,82
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,55300,76
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,76150,70
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,219000,60
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,48000,29
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,87000,31
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,34300,51
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,24510,61
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,40800,34
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,120000,32
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,210000,61
0,0,Male,Unemployed,Some college,With health insurance coverage,Not a veteran,212550,54
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,165500,70
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,19000,74
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,151500,50
0,0,Male,Employed,4+ years of college,No health insurance coverage,Not a veteran,168000,71
0,0,Female,Unemployed,High school,With health insurance coverage,Not a veteran,90200,56
0,1,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,10000,60
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,133600,40
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,60000,89
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,184200,55
0,1,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,5400,48
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,225000,31
0,1,Female,Unemployed,4+ years of college,With health insurance coverage,Not a veteran,13200,52
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,95600,68
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,88700,54
0,0,Female,Employed,High school,No health insurance coverage,Not a veteran,268200,42
0,0,Female,Employed,Some college,With health insurance coverage,Veteran,30000,48
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,59300,79
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,73500,71
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,19200,85
0,1,Female,Employed,Some college,With health insurance coverage,Veteran,13300,56
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,158030,63
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,17500,59
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,84000,63
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,88370,59
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,99100,57
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,49200,70
0,1,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,31580,62
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,62000,81
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,92700,85
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,25100,57
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,73000,77
0,0,Female,Employed,4+ years of college,No health insurance coverage,Not a veteran,100000,40
0,0,Female,Employed,4+ years of college,No health insurance coverage,Not a veteran,200000,38
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,123000,50
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,51000,65
0,1,Female,Unemployed,4+ years of college,With health insurance coverage,Not a veteran,2800,44
0,0,Female,Employed,4+ years of college,With health insurance coverage,Veteran,154000,45
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,196800,40
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,115000,64
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,119000,69
0,1,Female,Unemployed,Some college,With health insurance coverage,Not a veteran,6200,35
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,85000,47
0,0,Female,Not in labor force,High school,With health insurance coverage,Veteran,56500,41
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,67400,83
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,75000,26
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,60100,65
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,85000,65
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,79000,62
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,64800,71
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,41600,32
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,109500,84
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,76000,60
0,1,Female,Unemployed,High school,With health insurance coverage,Not a veteran,11000,40
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,100300,34
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,39500,40
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,109300,61
0,0,Female,Not in labor force,Some high school,With health insurance coverage,Not a veteran,38400,78
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,55800,66
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,48200,63
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,57200,76
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,95000,33
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,100000,37
0,1,Male,Unemployed,4+ years of college,With health insurance coverage,Not a veteran,0,30
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,65000,53
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,181000,71
0,1,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,210,38
0,1,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,4300,76
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,55000,50
0,0,Female,Not in labor force,Some high school,With health insurance coverage,Veteran,50300,63
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,45300,60
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,64800,82
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,37800,71
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,54600,67
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,66500,45
0,1,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,13500,83
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,35000,25
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,45000,75
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,160000,41
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,143000,38
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,35000,77
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,69100,76
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,98000,41
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,40000,42
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,67400,73
