pov,EMPSTAT,EDUC,BLACK,SEX,HCOVANY,VETSTAT,FTOTINC,AGE
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,67300,36
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,82000,32
0,Employed,Some college,0,Male,With health insurance coverage,Veteran,15800,75
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,170000,56
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,17000,24
0,Not in labor force,4+ years of college,0,Female,No health insurance coverage,Veteran,29800,37
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,32400,56
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,69300,44
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,33900,78
0,Employed,High school,0,Male,With health insurance coverage,Veteran,53000,70
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,220000,74
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,273000,54
0,Not in labor force,Some high school,0,Male,With health insurance coverage,Not a veteran,33000,71
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,93800,28
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,74400,64
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,145050,40
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,21150,59
0,Not in labor force,Some high school,0,Female,With health insurance coverage,Veteran,65300,73
0,Employed,4+ years of college,0,Female,With health insurance coverage,Veteran,80000,72
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,18000,33
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,72670,58
0,Not in labor force,High school,0,Female,With health insurance coverage,Veteran,43500,59
0,Not in labor force,High school,1,Male,With health insurance coverage,Not a veteran,112100,70
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,494800,45
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,60000,25
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,558000,37
0,Employed,Some college,0,Male,With health insurance coverage,Veteran,125000,51
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,47000,56
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,29450,56
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,28500,86
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,59800,72
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,84000,72
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,26500,49
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,78180,40
0,Employed,High school,0,Male,With health insurance coverage,Veteran,45000,86
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,188000,36
