pov,EMPSTAT,EDUC,BLACK,SEX,HCOVANY,VETSTAT,FTOTINC,AGE
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,29400,73
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Veteran,111200,80
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,21000,87
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,489000,50
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,25000,65
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,143000,47
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,64200,71
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,107700,72
0,Employed,4+ years of college,1,Male,With health insurance coverage,Not a veteran,80000,50
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,36400,63
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,79000,88
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,669000,54
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,73000,70
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,58800,60
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,70800,57
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,65000,57
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,190000,65
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,37400,63
0,Employed,4+ years of college,0,Female,No health insurance coverage,Not a veteran,30000,25
0,Not in labor force,High school,0,Female,With health insurance coverage,Veteran,82000,59
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,25100,59
0,Employed,Some college,1,Female,With health insurance coverage,Not a veteran,39410,45
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,21100,82
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,99000,57
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,136900,68
0,Employed,4+ years of college,0,Female,No health insurance coverage,Not a veteran,43000,48
0,Employed,Some college,0,Female,No health insurance coverage,Not a veteran,200250,56
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,62080,42
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,21600,89
