BLACK,pov,SEX,EMPSTAT,EDUC,HCOVANY,VETSTAT,FTOTINC,AGE
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,85000,61
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,101400,72
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,158000,36
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,29400,82
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,85000,57
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,137000,43
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,19000,83
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,101700,41
0,1,Male,Employed,4+ years of college,With health insurance coverage,Veteran,0,29
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,31700,33
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,15000,75
0,1,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,9100,38
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,65000,29
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,19400,87
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,44900,42
0,0,Female,Employed,4+ years of college,No health insurance coverage,Not a veteran,145000,48
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,51400,63
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,55000,36
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,80000,51
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,34400,27
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,208050,33
0,0,Female,Employed,4+ years of college,No health insurance coverage,Not a veteran,145000,56
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,196080,68
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,192000,56
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,33100,88
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,15160,63
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,200500,71
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,48000,45
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,124000,66
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,25400,63
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,29100,69
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,99000,66
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,252000,48
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,36000,83
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,58000,27
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,76000,54
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,53760,76
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,60000,23
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,85000,46
0,0,Female,Employed,Some college,No health insurance coverage,Not a veteran,40000,35
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,41880,71
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,296500,56
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,98000,59
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,72200,68
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,58000,43
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,115300,66
0,0,Female,Employed,4+ years of college,With health insurance coverage,Veteran,210000,48
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,124000,32
0,1,Male,Not in labor force,4+ years of college,With health insurance coverage,Veteran,2800,75
0,1,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,8200,67
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,83800,61
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,59000,39
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,52000,25
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,43000,78
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,157800,40
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,373200,53
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,150000,67
0,0,Male,Employed,High school,No health insurance coverage,Veteran,45000,60
0,1,Male,Unemployed,4+ years of college,With health insurance coverage,Not a veteran,13000,44
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,26000,70
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,102600,41
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,75000,42
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,22000,71
0,0,Female,Not in labor force,Less than high school,With health insurance coverage,Not a veteran,96500,64
0,0,Male,Not in labor force,High school,With health insurance coverage,Veteran,55000,83
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,75000,50
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,84420,75
0,1,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,11000,64
0,1,Male,Not in labor force,Some college,With health insurance coverage,Veteran,30000,69
0,0,Female,Not in labor force,Some high school,With health insurance coverage,Not a veteran,27600,82
0,1,Male,Unemployed,High school,With health insurance coverage,Not a veteran,11300,34
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Veteran,111900,59
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,60000,30
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,107000,66
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,258000,49
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,978000,54
0,1,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,10000,82
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Veteran,41100,69
0,0,Male,Employed,High school,No health insurance coverage,Not a veteran,75000,38
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,101000,38
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,49800,73
0,1,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,7000,79
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,112000,78
0,0,Female,Employed,Some college,With health insurance coverage,Veteran,60000,35
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,180000,52
0,1,Male,Employed,Some college,With health insurance coverage,Not a veteran,14800,47
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,68000,69
0,1,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,10500,42
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,57800,64
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,37000,24
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,25000,85
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,105000,40
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,28000,39
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,124000,32
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,20400,70
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,80000,76
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,200050,65
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,45000,56
0,0,Male,Employed,High school,No health insurance coverage,Not a veteran,64300,22
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,20000,56
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,50000,33
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,149200,65
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,63700,57
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,69000,38
0,1,Female,Unemployed,Some college,With health insurance coverage,Not a veteran,17100,50
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,68000,63
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,224000,41
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,104000,25
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,23500,68
0,0,Male,Employed,High school,With health insurance coverage,Veteran,70000,56
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,75000,34
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Veteran,42800,63
0,0,Female,Not in labor force,Some college,With health insurance coverage,Veteran,49100,59
0,1,Female,Employed,High school,With health insurance coverage,Not a veteran,0,32
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,132000,57
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,41700,83
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,234000,42
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,75200,72
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,154160,34
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,16000,79
0,0,Male,Not in labor force,Some high school,With health insurance coverage,Not a veteran,66720,72
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,49000,72
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,106000,34
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,54000,53
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,56900,61
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,137000,45
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,104500,56
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,135800,74
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,47000,58
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,63000,65
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,85220,76
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,65000,38
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,56100,30
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,18800,66
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,15500,86
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,258700,52
0,1,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,9700,74
0,1,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,0,65
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,32600,82
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,14400,26
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,44900,65
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,79000,61
0,0,Male,Employed,4+ years of college,No health insurance coverage,Not a veteran,168000,48
0,1,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,1600,73
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,86780,74
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,44000,53
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,233000,40
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,34000,54
0,1,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,30,65
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,180000,57
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,250000,54
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,23900,66
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,81800,56
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,22840,71
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,115000,48
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,62300,68
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,190020,57
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,122000,72
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,200000,63
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,35000,25
0,0,Male,Employed,4+ years of college,With health insurance coverage,Veteran,190700,75
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,205500,69
0,0,Female,Employed,4+ years of college,With health insurance coverage,Veteran,501000,60
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,41000,67
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,116600,76
0,0,Female,Employed,High school,With health insurance coverage,Veteran,35000,57
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,205000,61
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,80000,67
0,0,Female,Not in labor force,Some high school,With health insurance coverage,Not a veteran,42000,81
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,200000,35
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,90000,35
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,58800,69
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,90000,63
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,77000,66
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,20100,64
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,110500,74
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,97000,41
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,89100,70
0,0,Female,Not in labor force,Some college,With health insurance coverage,Veteran,28020,75
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,21000,72
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,304400,49
0,0,Male,Not in labor force,Some high school,With health insurance coverage,Not a veteran,57000,79
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,66000,65
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,90000,48
0,1,Male,Employed,High school,With health insurance coverage,Veteran,800,60
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,34000,33
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,44700,86
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,102000,66
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,53000,58
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,322000,59
0,1,Female,Employed,High school,With health insurance coverage,Not a veteran,11600,53
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,57000,77
0,1,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,8300,77
0,0,Male,Employed,4+ years of college,With health insurance coverage,Veteran,283000,60
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,83200,29
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,111800,40
0,0,Female,Employed,High school,With health insurance coverage,Veteran,50000,63
0,1,Male,Employed,Some college,With health insurance coverage,Not a veteran,6300,28
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,54000,57
0,1,Male,Unemployed,High school,With health insurance coverage,Not a veteran,15200,47
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,48000,73
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,243000,61
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,130000,70
0,1,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,5300,61
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,120000,53
0,0,Male,Employed,4+ years of college,No health insurance coverage,Not a veteran,79000,68
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,195000,46
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,171700,79
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,112000,64
