BLACK,pov,SEX,EMPSTAT,EDUC,HCOVANY,VETSTAT,FTOTINC,AGE
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,83700,56
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,108000,65
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,40100,73
0,1,Male,Not in labor force,Less than high school,With health insurance coverage,Not a veteran,14300,64
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,80500,69
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,16800,54
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,71600,67
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,86700,79
0,0,Female,Employed,Some college,With health insurance coverage,Veteran,128500,35
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,37200,81
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,34500,57
1,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,167600,48
0,0,Male,Employed,High school,With health insurance coverage,Veteran,79600,74
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,43300,39
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,57500,78
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,110000,65
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,55300,79
0,0,Male,Not in labor force,High school,With health insurance coverage,Veteran,60000,74
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,330000,48
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,92000,38
0,1,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,10700,52
0,1,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,7300,79
0,0,Female,Employed,4+ years of college,With health insurance coverage,Veteran,367160,49
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,29180,53
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,51500,57
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,132000,46
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,138000,41
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,31300,64
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,93900,64
0,0,Female,Employed,Some college,With health insurance coverage,Veteran,100000,52
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,175004,53
1,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,167000,46
0,0,Male,Employed,High school,No health insurance coverage,Not a veteran,20000,55
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,51350,27
0,0,Male,Not in labor force,Some high school,With health insurance coverage,Not a veteran,14000,65
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,88550,58
