BLACK,pov,SEX,EMPSTAT,EDUC,HCOVANY,VETSTAT,FTOTINC,AGE
0,0,Male,Employed,Some college,With health insurance coverage,Veteran,155000,54
0,1,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,69400,37
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,70300,59
0,1,Female,Employed,Some college,With health insurance coverage,Not a veteran,45600,51
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,140000,32
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,41000,70
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,65000,72
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,15400,55
0,1,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,35000,65
0,0,Female,Employed,High school,With health insurance coverage,Veteran,16000,60
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,198000,30
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,141400,39
0,1,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,0,28
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,16100,87
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,73200,69
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,39400,25
0,0,Male,Employed,Some high school,With health insurance coverage,Veteran,92000,49
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,9770,33
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,24600,52
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,39600,65
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,56000,42
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,84500,55
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,9700,49
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,19600,41
0,0,Male,Employed,4+ years of college,With health insurance coverage,Veteran,13600,45
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,3800,66
0,0,Male,Employed,High school,With health insurance coverage,Veteran,70000,61
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,48000,41
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,192000,78
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,67000,66
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,30700,29
