pov,EMPSTAT,EDUC,BLACK,SEX,HCOVANY,VETSTAT,FTOTINC,AGE
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,23000,67
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,67000,58
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Veteran,54100,64
0,Not in labor force,4+ years of college,1,Female,With health insurance coverage,Not a veteran,52000,73
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,74700,25
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,152200,43
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,21400,71
0,Not in labor force,High school,1,Female,With health insurance coverage,Not a veteran,67700,80
0,Employed,Some college,0,Male,With health insurance coverage,Veteran,160500,33
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,101700,74
0,Not in labor force,Some college,1,Female,With health insurance coverage,Not a veteran,33000,74
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,13850,69
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,351000,50
0,Employed,4+ years of college,1,Male,With health insurance coverage,Not a veteran,527000,40
0,Employed,Some college,0,Male,With health insurance coverage,Veteran,55000,39
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,42900,25
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,19600,95
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,22100,70
0,Employed,High school,0,Male,No health insurance coverage,Not a veteran,83900,32
0,Not in labor force,High school,0,Male,With health insurance coverage,Veteran,28200,59
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,112000,70
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,45600,30
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,65000,34
0,Not in labor force,Some high school,0,Male,With health insurance coverage,Not a veteran,66900,59
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,87000,62
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,50000,21
0,Not in labor force,Some college,0,Female,With health insurance coverage,Veteran,62900,66
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,125000,48
