BLACK,pov,SEX,EMPSTAT,EDUC,HCOVANY,VETSTAT,FTOTINC,AGE
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,90000,70
0,1,Female,Unemployed,High school,With health insurance coverage,Veteran,12200,52
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,83000,26
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,191000,65
0,1,Female,Employed,High school,No health insurance coverage,Not a veteran,0,42
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,19300,67
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,97000,64
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,119000,65
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,78000,77
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,225200,41
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,21800,72
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,52700,69
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,59000,50
0,1,Female,Not in labor force,High school,With health insurance coverage,Veteran,11960,64
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,50000,42
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,117300,28
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,62850,75
0,1,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,1800,84
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,28520,66
0,0,Male,Employed,High school,No health insurance coverage,Not a veteran,30000,49
0,0,Male,Employed,4+ years of college,With health insurance coverage,Veteran,118570,80
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,72000,53
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,56400,42
0,0,Female,Employed,High school,With health insurance coverage,Veteran,36800,64
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,206000,53
0,1,Female,Employed,High school,With health insurance coverage,Not a veteran,10000,70
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,29000,61
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,35800,72
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,150000,50
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,87500,46
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,40800,75
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,214400,41
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,192000,55
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,79000,30
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,377000,39
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,19300,95
0,1,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,5300,65
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,35100,37
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,20200,76
0,1,Male,Unemployed,High school,With health insurance coverage,Not a veteran,20000,50
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,141000,59
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,50000,28
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,54600,75
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,114200,59
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,63000,31
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,264300,65
0,1,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,5000,33
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,156000,72
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,604000,41
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,40800,69
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,138200,70
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,33700,68
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,152100,45
0,1,Female,Not in labor force,4+ years of college,No health insurance coverage,Not a veteran,12500,56
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,25400,69
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,63510,75
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,69000,74
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,19600,59
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,79400,77
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,26690,85
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,39800,31
0,1,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,6100,65
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,236700,72
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,60000,52
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,489000,84
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,77600,68
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,33300,54
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,125000,30
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,48860,73
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,158200,53
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,195000,57
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,33800,76
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,180000,45
0,0,Female,Employed,High school,With health insurance coverage,Veteran,150930,38
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,146000,73
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,67000,60
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,52100,69
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,102000,52
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,37600,69
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,44000,70
