BLACK,pov,SEX,EMPSTAT,EDUC,HCOVANY,VETSTAT,FTOTINC,AGE
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,20000,66
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Veteran,57800,73
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,30900,66
0,0,Male,Employed,Some college,No health insurance coverage,Not a veteran,48600,45
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,37800,95
0,0,Female,Employed,Some college,With health insurance coverage,Veteran,25000,53
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,270000,31
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,19300,62
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,44200,72
0,0,Male,Employed,High school,With health insurance coverage,Veteran,130000,61
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,32000,55
0,0,Male,Employed,Some college,With health insurance coverage,Veteran,87600,69
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,50000,74
0,1,Male,Not in labor force,Some college,With health insurance coverage,Veteran,13300,88
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,35000,47
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,219000,45
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,39100,76
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,41730,71
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,18000,87
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,92100,34
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,364900,49
0,0,Male,Employed,Some college,With health insurance coverage,Veteran,61700,79
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,13400,60
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,58800,64
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,37200,61
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,76500,71
0,0,Female,Employed,High school,No health insurance coverage,Veteran,220000,61
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,165100,43
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,29000,66
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,120000,56
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,122000,38
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,93200,62
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,165000,50
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,132000,61
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,72700,66
0,1,Female,Employed,Some college,With health insurance coverage,Not a veteran,57200,53
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,131000,68
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,92700,57
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,32600,29
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,33800,56
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,15000,29
0,1,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,128000,68
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,23000,72
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,60000,42
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,114000,63
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,100000,50
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,544000,61
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,147400,44
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,47000,72
0,1,Male,Employed,Some college,With health insurance coverage,Not a veteran,0,41
0,1,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,310000,90
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,26500,74
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,187000,59
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,9700,51
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,102000,49
0,0,Female,Unemployed,High school,With health insurance coverage,Not a veteran,40700,63
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,40570,75
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,77700,55
0,1,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,57720,38
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,18700,40
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,19700,76
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,49700,57
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,20000,63
0,1,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,12150,65
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,22000,78
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,113900,65
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,54000,43
0,0,Male,Employed,4+ years of college,No health insurance coverage,Not a veteran,100000,60
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,64100,78
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,10200,77
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,75000,57
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,26000,64
0,0,Male,Not in labor force,High school,With health insurance coverage,Veteran,190350,44
0,0,Female,Employed,4+ years of college,With health insurance coverage,Veteran,49800,63
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,133300,54
0,1,Female,Not in labor force,Some college,With health insurance coverage,Veteran,0,75
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,40200,51
0,0,Male,Employed,4+ years of college,With health insurance coverage,Veteran,50000,53
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,33500,87
0,1,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,13000,78
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,58400,57
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,237900,34
0,1,Male,Not in labor force,Some high school,With health insurance coverage,Veteran,11000,81
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,52000,61
0,0,Female,Employed,High school,With health insurance coverage,Veteran,108000,51
0,1,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,13200,84
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,141900,43
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,103000,63
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,50600,30
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,38000,68
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,15100,64
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,125000,31
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,63000,69
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,74000,33
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,14500,69
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,75400,29
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,136000,68
0,0,Female,Employed,Some high school,With health insurance coverage,Not a veteran,149600,57
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,102000,62
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,92000,62
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,115600,46
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,165000,54
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,110000,47
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,265000,66
0,0,Female,Unemployed,High school,With health insurance coverage,Not a veteran,73800,49
0,1,Female,Employed,High school,With health insurance coverage,Not a veteran,85300,28
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,16400,69
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,20900,84
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,62700,74
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,78500,65
0,1,Female,Employed,High school,With health insurance coverage,Not a veteran,43600,38
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,90600,69
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,51600,71
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,33800,74
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,33600,41
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,120500,38
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,59600,81
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,75000,35
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,32700,56
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,127000,83
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,32000,52
0,0,Female,Employed,4+ years of college,With health insurance coverage,Veteran,84000,67
0,1,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,25000,49
0,0,Male,Employed,4+ years of college,With health insurance coverage,Veteran,75000,53
0,0,Female,Employed,High school,With health insurance coverage,Veteran,40000,61
0,1,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,9300,56
0,0,Female,Not in labor force,Some college,With health insurance coverage,Veteran,75200,48
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,41500,83
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,20000,48
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,50000,61
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,94000,62
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,173600,50
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,88000,62
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,29600,69
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,84200,49
0,1,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,101500,27
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,44400,24
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Veteran,11500,90
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,118500,65
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,163000,31
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,274900,78
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,162000,81
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,183400,41
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,169130,29
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,24300,72
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,57800,59
0,0,Female,Not in labor force,Some college,With health insurance coverage,Veteran,24500,78
0,0,Female,Unemployed,High school,With health insurance coverage,Not a veteran,24600,30
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,60400,66
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,12000,59
0,0,Female,Employed,Some high school,With health insurance coverage,Not a veteran,20000,54
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,22900,56
0,0,Male,Not in labor force,Less than high school,With health insurance coverage,Not a veteran,140000,71
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,99500,67
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,219000,57
0,0,Male,Employed,High school,With health insurance coverage,Veteran,122000,62
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,19500,63
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,68100,46
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,115000,35
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,153000,52
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,111000,42
0,0,Male,Not in labor force,Some high school,With health insurance coverage,Not a veteran,14310,80
