pov,EMPSTAT,EDUC,BLACK,SEX,HCOVANY,VETSTAT,FTOTINC,AGE
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,29200,60
0,Employed,Some college,1,Female,With health insurance coverage,Not a veteran,106500,59
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,66000,76
0,Not in labor force,High school,0,Female,With health insurance coverage,Veteran,30000,68
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,35100,64
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,78000,64
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,20900,89
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,528000,62
0,Employed,Some college,1,Female,With health insurance coverage,Veteran,114000,36
0,Employed,High school,0,Female,No health insurance coverage,Not a veteran,59000,57
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,23500,70
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,55800,70
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,150500,56
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,113300,22
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,49400,66
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,55800,61
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,217200,44
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,82500,52
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,25700,38
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,136000,79
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,22700,56
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,73000,26
0,Not in labor force,Some high school,0,Female,With health insurance coverage,Not a veteran,30100,79
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,43200,52
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,146000,43
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,120100,65
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,170000,58
0,Employed,High school,0,Male,No health insurance coverage,Not a veteran,46500,63
0,Not in labor force,High school,1,Male,With health insurance coverage,Not a veteran,52500,68
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,72000,51
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,180400,77
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,62000,23
0,Employed,4+ years of college,1,Male,With health insurance coverage,Not a veteran,72000,57
