BLACK,pov,SEX,EMPSTAT,EDUC,HCOVANY,VETSTAT,FTOTINC,AGE
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,29700,71
0,1,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,9210,69
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,225000,43
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,43800,54
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,70000,26
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,155900,65
0,0,Female,Not in labor force,High school,With health insurance coverage,Veteran,40800,69
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,45000,39
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,220000,35
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,185000,46
0,0,Male,Not in labor force,High school,With health insurance coverage,Veteran,36400,76
0,0,Female,Employed,4+ years of college,No health insurance coverage,Not a veteran,59830,47
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,266000,50
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,21000,42
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,104900,28
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,80100,73
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,21600,89
0,1,Male,Employed,High school,With health insurance coverage,Not a veteran,3900,50
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,655000,39
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,31250,73
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,124000,49
0,0,Male,Unemployed,Some college,With health insurance coverage,Not a veteran,59700,25
0,0,Male,Employed,4+ years of college,With health insurance coverage,Veteran,255000,45
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,27400,61
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,38000,67
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,26000,31
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,67740,60
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,25000,59
0,0,Male,Employed,Some high school,With health insurance coverage,Veteran,85000,50
0,0,Male,Not in labor force,Less than high school,With health insurance coverage,Not a veteran,31400,72
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,31000,69
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,45000,33
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,38000,78
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,101300,39
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,96000,63
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,62880,33
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,83100,67
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,37000,33
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,165000,58
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,73000,53
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,87000,41
0,0,Female,Not in labor force,High school,With health insurance coverage,Veteran,17000,86
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,90000,56
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,70000,33
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,70000,60
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,45700,77
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,140300,56
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,120000,41
0,0,Male,Employed,Some college,With health insurance coverage,Not a veteran,76600,34
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,72600,79
0,0,Male,Employed,High school,With health insurance coverage,Not a veteran,142000,56
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,19220,95
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,83100,81
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,47400,77
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,103000,60
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,68940,76
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,100000,31
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,165300,53
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,93500,71
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,135000,45
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,72000,40
0,0,Male,Employed,Some high school,With health insurance coverage,Not a veteran,44500,58
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,40900,87
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,89400,70
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,72000,25
0,0,Female,Employed,4+ years of college,No health insurance coverage,Not a veteran,19100,32
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,53800,79
0,1,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,13900,78
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,28300,75
0,0,Male,Employed,Some high school,With health insurance coverage,Not a veteran,112300,32
0,0,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,45700,64
0,0,Female,Employed,Some college,With health insurance coverage,Veteran,25300,68
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,125000,52
0,1,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,0,63
0,0,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,81000,70
0,1,Female,Not in labor force,High school,With health insurance coverage,Not a veteran,12680,54
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,167800,63
0,0,Female,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,110400,65
0,0,Male,Not in labor force,High school,With health insurance coverage,Not a veteran,24600,82
0,0,Female,Employed,Some college,With health insurance coverage,Not a veteran,91000,24
0,0,Female,Employed,High school,With health insurance coverage,Not a veteran,35020,62
0,1,Male,Employed,High school,With health insurance coverage,Not a veteran,12200,31
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,91000,48
0,1,Female,Not in labor force,Some college,With health insurance coverage,Not a veteran,11700,74
0,0,Male,Not in labor force,Some college,With health insurance coverage,Not a veteran,86300,70
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,200000,41
0,0,Male,Employed,4+ years of college,With health insurance coverage,Not a veteran,234000,60
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,340000,51
0,1,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,0,71
0,0,Male,Employed,Less than high school,No health insurance coverage,Not a veteran,91800,58
0,0,Male,Employed,High school,With health insurance coverage,Veteran,45000,73
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,150000,43
0,0,Male,Not in labor force,4+ years of college,With health insurance coverage,Not a veteran,112800,68
0,0,Female,Employed,Some college,With health insurance coverage,Veteran,52100,43
0,0,Female,Employed,4+ years of college,With health insurance coverage,Not a veteran,185000,72
0,0,Female,Employed,Some college,With health insurance coverage,Veteran,28000,50
