pov,EMPSTAT,EDUC,BLACK,SEX,HCOVANY,VETSTAT,FTOTINC,AGE
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,86800,53
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,55000,58
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,68000,76
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,50000,27
0,Not in labor force,4+ years of college,1,Male,With health insurance coverage,Veteran,41000,75
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,117150,84
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Veteran,467900,87
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,28600,67
0,Employed,Some high school,0,Male,With health insurance coverage,Not a veteran,38200,33
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,95600,26
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,175500,72
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,30200,79
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,33000,72
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,242300,40
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,68120,32
0,Employed,High school,0,Male,With health insurance coverage,Veteran,153000,31
0,Not in labor force,Some college,0,Male,With health insurance coverage,Veteran,20400,65
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,53100,67
0,Employed,Some high school,0,Male,With health insurance coverage,Not a veteran,93000,47
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,70000,30
0,Not in labor force,Some high school,0,Female,With health insurance coverage,Not a veteran,76900,68
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,46000,56
0,Employed,4+ years of college,0,Male,With health insurance coverage,Not a veteran,121000,45
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,48000,49
0,Employed,High school,0,Male,With health insurance coverage,Veteran,142600,58
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,59000,25
0,Employed,4+ years of college,0,Male,No health insurance coverage,Not a veteran,30000,50
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,120000,33
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,205000,37
0,Employed,Some high school,0,Male,With health insurance coverage,Veteran,42000,57
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,41600,78
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,24600,89
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,558000,44
0,Not in labor force,High school,0,Female,With health insurance coverage,Not a veteran,73400,71
0,Employed,Some college,0,Female,With health insurance coverage,Not a veteran,67000,59
0,Not in labor force,4+ years of college,0,Male,With health insurance coverage,Not a veteran,183000,88
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,83800,67
0,Not in labor force,High school,0,Male,With health insurance coverage,Not a veteran,38600,53
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,30420,89
0,Employed,Some college,0,Male,With health insurance coverage,Not a veteran,146000,37
0,Employed,4+ years of college,0,Female,With health insurance coverage,Not a veteran,45000,34
0,Not in labor force,Some high school,0,Male,With health insurance coverage,Not a veteran,25000,72
0,Employed,High school,0,Female,With health insurance coverage,Not a veteran,103300,58
0,Employed,High school,0,Male,With health insurance coverage,Not a veteran,50000,64
0,Not in labor force,Some college,0,Male,With health insurance coverage,Not a veteran,52000,79
0,Not in labor force,Some college,0,Female,With health insurance coverage,Not a veteran,25500,74
0,Not in labor force,4+ years of college,0,Female,With health insurance coverage,Not a veteran,129200,76
0,Employed,4+ years of college,1,Female,With health insurance coverage,Not a veteran,107150,60
